Name,Selling_Price,Original_Price,Display,Size,Screen_resolution,OS,Launch_Year,Ratings
Samsung,84999.0,119990.0,Qled Ultra Hd (4K),50,3840x2160,Tizen,2021,4.6
Samsung,51990.0,86900.0,Ultra Hd (4K),55,3840x2160,Tizen,2021,4.5
Samsung,51000.0,64900.0,Ultra Hd (4K),50,3840x2160,Tizen,2024,4.3
Lg,68900.0,68990.0,Ultra Hd (4K),49,3840x2160,Webos,2018,4.5
Samsung,49990.0,70990.0,Ultra Hd (4K),55,3840x2160,Tizen,2022,4.3
Samsung,169990.0,249990.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2023,5.0
Samsung,33999.0,47473.0,Full Hd Led,43,1080x1920,Tizen,2020,5.0
Samsung,39990.0,54900.0,Ultra Hd (4K),43,3840x2160,Tizen,2021,4.1
Samsung,116899.0,136500.0,Ultra Hd (4K),49,3840x2160,Tizen,2016,4.4
Samsung,74990.0,137900.0,Ultra Hd (4K),65,3840x2160,Tizen,2022,4.3
Samsung,189990.0,279990.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2023,4.5
Samsung,52990.0,89400.0,Ultra Hd (4K),55,3840x2160,Tizen,2022,3.6
Toshiba,38668.0,54990.0,Ultra Hd (4K),55,3840x2160,Google,2022,4.3
Sansui,23990.0,39900.0,Full Hd Led,43,1080x1920,Google,2023,4.6
Samsung,69990.0,135900.0,Ultra Hd (4K),65,3840x2160,Tizen,2021,4.3
Samsung,128990.0,182900.0,Ultra Hd (4K),75,3840x2160,Tizen,2023,4.3
Sony,57990.0,82990.0,Ultra Hd (4K),43,3840x2160,Google,2021,4.7
Sony,94990.0,164900.0,Ultra Hd (4K),65,3840x2160,Android,2022,4.6
Samsung,241199.0,294900.0,Ultra Hd (4K),65,3840x2160,Tizen,2017,4.3
Samsung,49490.0,69900.0,Ultra Hd (4K),50,3840x2160,Tizen,2021,4.9
Tcl,75899.0,149900.0,Ultra Hd (4K),65,3840x2160,Android,2018,4.0
Sony,94147.0,129990.0,Ultra Hd (4K),55,3840x2160,Android,2020,4.8
Candy,41990.0,55990.0,Qled Ultra Hd (4K),55,3840x2160,Google,2023,4.3
Samsung,69990.0,115990.0,Ultra Hd (4K),65,3840x2160,Tizen,2021,4.3
Sony,84990.0,149990.0,Ultra Hd (4K),55,3840x2160,Android,2022,4.3
Samsung,139990.0,245900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2022,4.3
Samsung,79000.0,98900.0,Ultra Hd (4K),65,3840x2160,Tizen,2024,4.3
Lg,74990.0,129990.0,Ultra Hd (4K),65,3840x2160,Webos,2021,4.5
Bpl,21989.0,30990.0,Full Hd Led,43,1080x1920,Linux,2024,4.3
Vu,27990.0,35000.0,Ultra Hd (4K),43,3840x2160,Webos,2024,4.3
Lg,64990.0,100990.0,Ultra Hd (4K),55,3840x2160,Webos,2022,4.3
Samsung,191699.0,269900.0,Ultra Hd (4K),65,3840x2160,Tizen,2018,4.3
Lg,52095.0,94990.0,Ultra Hd (4K),55,3840x2160,Webos,2021,4.9
Samsung,84990.0,169990.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2021,4.3
Samsung,219990.0,329900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2023,4.3
Samsung,79990.0,138990.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2022,4.3
Sony,139990.0,239900.0,Ultra Hd (4K),65,3840x2160,Google,2021,4.3
Lg,36990.0,59990.0,Ultra Hd (4K),43,3840x2160,Webos,2021,4.6
Samsung,84990.0,161900.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2022,4.3
Lg,119990.0,269900.0,Ultra Hd (4K),75,3840x2160,Webos,2020,4.3
Samsung,109990.0,229990.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2020,4.3
Samsung,174399.0,279900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2022,4.3
Samsung,68970.0,134900.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2020,4.6
Acer,64990.0,78990.0,Ultra Hd (4K),70,3840x2160,Android,2023,4.3
Tcl,45990.0,75990.0,Ultra Hd (4K),55,3840x2160,Android,2022,4.7
Samsung,104990.0,209990.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2021,4.3
Sony,309990.0,599990.0,Ultra Hd (4K),85,3840x2160,Android,2022,4.3
Lg,104199.0,166990.0,Ultra Hd (4K),55,3840x2160,Webos,2020,4.7
Haier,30990.0,32160.0,Ultra Hd (4K),43,3840x2160,Google,2023,4.0
Lg,49990.0,84990.0,Ultra Hd (4K),55,3840x2160,Webos,2020,4.3
Lg,46649.0,58900.0,Full Hd Led,43,1080x1920,Webos,2016,4.3
